"ID","Area","Feature","User Story","Expected Behavior","Entry Point","Key Files","Priority","Status","Test Method","Test Result","Errors/Bugs Found","Severity","Fix Status","Notes"
"API-11","API client, caching, error handling, retry, key resolution","Search (combined and filtered) with pagination","As a user, I want to search across songs, albums, artists, playlists, and podcasts and load more results so that I can find any content.","search(query:) returns a combined SearchResponse (songs/albums/artists/playlists) cached 2 min. Filtered variants pass hardcoded YouTube Music filter params: searchSongs/searchSongsWithPagination, searchAlbums, searchArtists, searchPlaylists, searchFeaturedPlaylists, searchCommunityPlaylists, searchPodcasts - each parses its single type and stores searchContinuationToken; hasMoreSearchResults reflects it. getSearchContinuation fetches the next page (cached 2 min) and updates the token; on error the token is cleared and the error rethrown. clearSearchContinuation() resets the token (e.g. starting a new query). Empty results return empty arrays rather than errors.","Search bar / category filter chips / scroll-to-end in Search","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/SearchResponse.swift","P0","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F007(medium): Single shared continuation tokens for playlist / liked songs / filtered search cause cross-context pagination contamination","medium","Fixed (merged)","Filter params are documented base+filter+no-spelling-correction encodings; podcasts param is URL-percent-encoded."
"API-12","API client, caching, error handling, retry, key resolution","Search autocomplete suggestions","As a user typing in the search field, I want live autocomplete suggestions so that I can complete queries quickly.","getSearchSuggestions(query:) returns [] immediately for an empty query (no request). Otherwise it POSTs to music/get_search_suggestions with input=query and no caching (suggestions are ephemeral), parsing results via SearchSuggestionsParser. Logs at debug level.","Typing in the search field","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/SearchSuggestionsParser.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","No TTL means each keystroke-driven call hits the network."
"API-13","API client, caching, error handling, retry, key resolution","Library content with graceful endpoint fallbacks","As a user, I want my full library (saved playlists, followed artists, podcast shows) to load reliably even when an endpoint is sparse so that I see everything I've saved.","getLibraryContent first parses FEmusic_library_landing (a curated preview), then fetches the dedicated FEmusic_liked_playlists and FEmusic_library_corpus_artists endpoints concurrently (async let). For playlists: if the dedicated call returns a non-empty list it's used; if it returns nothing or throws, it falls back to the landing preview (logged warning). For artists: dedicated success yields source .dedicated; empty/failed dedicated falls back to landing preview with source .landingFallback. Podcast shows come from the landing parse. All three browse calls are cached 5 min (library TTL). getLibraryPlaylists is a simpler dedicated-only variant.","Library tab load/refresh","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/PlaylistParser.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","LibraryArtistsSource (.dedicated vs .landingFallback) lets the UI/VM know whether the artist list is complete."
"API-14","API client, caching, error handling, retry, key resolution","Liked songs via VLLM playlist with pagination","As a user, I want to see all my liked songs (not just a truncated set) and page through them so that my full Liked Music is browsable.","getLikedSongs browses VLLM (Liked Music playlist) and parses it via PlaylistParser as playlist 'LM', returning LikedSongsResponse (tracks + continuationToken) cached 5 min; hasMoreLikedSongs reflects the token. getLikedSongsContinuation pages further via playlist continuation and updates the token; on error it clears the token and rethrows. A code comment notes VLLM is used specifically because FEmusic_liked_videos is limited to ~13 songs.","Liked Music screen load / scroll-to-end","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/ViewModels/LikedMusicViewModel.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","likedSongsContinuationToken is reset on account switch via resetSessionStateForAccountSwitch."
"API-15","API client, caching, error handling, retry, key resolution","Playlist details, full-tracks queue, and pagination","As a user opening a playlist or album, I want its tracks to load (and page in) reliably so that I can browse and play the whole thing.","getPlaylist(id:) normalizes the browseId by prefix: VL/RD/OLAK/MPRE/UC used as-is, PL/other prefixed with 'VL', then browses (cached 30 min) and stores playlistContinuationToken; hasMorePlaylistTracks reflects it. getPlaylistContinuation pages further and updates the token; on error clears the token and rethrows. getPlaylistAllTracks(playlistId:) strips a leading 'VL' and uses the music/get_queue endpoint (ttl nil, never cached) to fetch all tracks in one call - noted as more reliable for radio (RDCLAK) playlists where continuation misbehaves.","Opening a playlist/album, scroll-to-end, or 'play all' actions","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/PlaylistParser.swift","P0","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F007(medium): Single shared continuation tokens for playlist / liked songs / filtered search cause cross-context pagination contamination; F014(low): Queue-endpoint track parsing keeps only the first artist and uses empty-string artist IDs","medium","Fixed (merged)","playlistId parsing handles album-as-playlist (OLAK/MPRE) and radio (RD) IDs distinctly."
"API-16","API client, caching, error handling, retry, key resolution","Artist detail with best-effort duration enrichment","As a user viewing an artist, I want their top songs (with durations) and albums to load, and to page through all songs/albums, so that the artist page is complete.","getArtist(id:) browses the artist (cached 1 hour) and parses detail. Because artist-page top songs lack durations, it collects songs with nil duration and calls fetchSongDurations via music/get_queue (videoIds batch) to fill them in, rebuilding affected Song objects with the resolved duration while preserving all other fields. fetchSongDurations parses both direct and wrapped playlistPanelVideoRenderer structures and uses ParsingHelpers.parseDuration on lengthText. If enrichment is cancelled it rethrows CancellationError; any other enrichment failure is swallowed (debug-logged) so the page still renders. getArtistSongs and getArtistAlbums page the full lists via browseId/params (cached 1 hour).","Opening an artist page; 'see all songs/albums'","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/ArtistParser.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Enrichment only runs when at least one top song is missing a duration."
"API-17","API client, caching, error handling, retry, key resolution","Song metadata, like status, and feedback tokens","As a user, I want a song's like status, in-library state, and library add/remove tokens to be fetched so that the like and add-to-library controls reflect reality and work.","getSong(videoId:) POSTs the next endpoint (isAudioOnly, persistent playlist panel, AUTOMIX_SETTING_NORMAL) cached 30 min and parses via SongMetadataParser. The parser navigates the deeply nested singleColumnMusicWatchNextResultsRenderer path to the playlistPanelVideoRenderer (handling both direct and wrapped forms; throws parseError if absent), then extracts title (default 'Unknown'), artists (filtering separator runs ' bullet ', ' & ', ', ', ' middot '; using browseId when present else a stable hashed id), last thumbnail (normalizing '//' to https), duration, and menu data. Menu parsing reads menuServiceItemRenderer and toggleMenuServiceItemRenderer icons: LIBRARY_ADD/BOOKMARK_BORDER yields an add feedback token; LIBRARY_REMOVE/BOOKMARK marks isInLibrary true and yields a remove token; toggle items capture both add/remove tokens. likeStatus is read from topLevelButtons likeButtonRenderer (LIKE->like, DISLIKE->dislike, else indifferent).","Now-playing / track selection; powers like and add-to-library controls","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/SongMetadataParser.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/Song.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","feedbackTokens drive editSongLibraryStatus; missing tokens are tolerated (logged) and the action no-ops."
"API-18","API client, caching, error handling, retry, key resolution","Rate song (like/dislike/remove) with optimistic UI and cache invalidation","As a user, I want to like, dislike, or clear my rating on a song with instant feedback so that ratings feel responsive and survive errors gracefully.","rateSong(videoId:rating:) maps rating to endpoint (like/like, like/dislike, like/removelike) with target.videoId, then on success calls APICache.invalidateMutationCaches() (drops cached browse:/next:/like: entries so library/now-playing reflect the change). SongLikeStatusManager.rate applies the new status optimistically per active account, then calls client.rateSong; on CancellationError or any other error it rolls back to the previous status and emits a like event for reactive UI. Context menus show Like/Unlike and Dislike/Remove-Dislike conditionally based on current cached status.","Like/dislike buttons, song context menu (LikeDislikeContextMenu), now-playing controls","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/SongLikeStatusManager.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/SharedViews/SongActionsHelper.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Like status cache is keyed per account; setActiveAccountID switches scope on account change."
"API-19","API client, caching, error handling, retry, key resolution","Add/remove song from library via feedback tokens","As a user, I want to add or remove the current song from my library so that my saved songs stay in sync.","editSongLibraryStatus(feedbackTokens:) no-ops (with a warning log) when the token array is empty; otherwise POSTs to feedback with feedbackTokens and on success calls APICache.invalidateMutationCaches() so library views refresh. The add vs remove behavior is determined by which token (from song metadata) is passed.","Add-to-library / remove-from-library button on a song","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Tokens come from API-17 (SongMetadataParser menu parsing)."
"API-20","API client, caching, error handling, retry, key resolution","Subscribe/unsubscribe playlists, podcasts, and artists","As a user, I want to add or remove playlists, podcast shows, and artists from my library so that my library reflects my choices, with the UI updating optimistically.","subscribe/unsubscribeToPlaylist strips a leading 'VL' and calls like/like or like/removelike with target.playlistId, then invalidates 'browse:' caches. Podcast subscribe/unsubscribe converts the MPSPP show id to a PL playlist id (strip 'MPSPP', require remaining suffix to start with 'L', prepend 'P'; throws YTMusicError.invalidInput on malformed ids; passes non-MPSPP ids through with a warning) and calls the same endpoints. Artist subscribe/unsubscribe posts channelIds to subscription/subscribe or subscription/unsubscribe and invalidates 'browse:'. SongActionsHelper layers optimistic library updates, post-mutation refresh after ~500ms, and (for artists) a scheduled reconciliation retry loop (delays 2s then 3s) that reapplies optimistic state until the backend converges or rolls back on failure.","Add/Remove-from-library buttons and context menus on playlists, podcasts, artists","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/SharedViews/SongActionsHelper.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","convertPodcastShowIdToPlaylistId is the only client method that throws invalidInput; reconciliation also clears URLCache responses."
"API-21","API client, caching, error handling, retry, key resolution","Lyrics (plain and timed/synced) with fallback","As a user, I want to view lyrics - synced when available, plain otherwise - for the playing song so that I can follow along.","getLyrics(videoId:) first calls next (no cache) to get the lyrics browseId via LyricsParser.extractLyricsBrowseId; if none, returns Lyrics.unavailable; otherwise browses the lyrics page (cached 24 hours) and parses. getTimedLyrics(videoId:) calls next, returns .synced if extractTimedLyrics finds timed data; else falls back to the browse lyrics page (cached 24h) and returns .plain when available; otherwise .unavailable.","Lyrics view / lyrics toggle in now-playing","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/LyricsParser.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/Lyrics.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Long 24h TTL is justified because lyrics rarely change."
"API-22","API client, caching, error handling, retry, key resolution","Radio and infinite mix queues","As a user, I want radio based on a song and infinitely extending artist/mix queues so that playback can continue with similar music indefinitely.","getRadioQueue(videoId:) calls next with playlistId RDAMVM{videoId} (no cache) and returns parsed songs. getMixQueue(playlistId:startVideoId:) calls next with the given playlist id (optionally seeding videoId) and returns a RadioQueueResult with songs + continuation token. getMixQueueContinuation(continuationToken:) uses the next continuation request to fetch more songs and the next token, enabling an endless mix. All use isAudioOnly + persistent playlist panel + AUTOMIX_SETTING_NORMAL.","Play-radio / play-artist-mix actions; queue auto-extension as the mix nears its end","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/RadioQueueParser.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Radio/mix calls are never cached so the queue stays fresh."
"API-23","API client, caching, error handling, retry, key resolution","Podcast discovery, show detail, and episode pagination","As a user, I want to browse podcasts, open a show with its episodes, and load more episodes so that I can explore and listen to podcasts.","getPodcasts browses FEmusic_podcasts (cached 5 min), parses discovery sections via PodcastParser, and stores a podcasts continuation token; getPodcastsContinuation pages further (clearing the token and rethrowing on error). getPodcastShow(browseId:) browses a show (cached 30 min) and parses show + episodes. getPodcastEpisodesContinuation(token:) browses more episodes via continuation (cached 30 min).","Podcasts tab, opening a show, scroll-to-end in show","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/Parsers/PodcastParser.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Podcast discovery returns [PodcastSection] rather than HomeResponse."
"API-24","API client, caching, error handling, retry, key resolution","Mood/genre category browse","As a user, I want to open a mood/genre category and see its curated sections so that I can discover music by mood or genre.","getMoodCategory(browseId:params:) browses the category (optionally including params extracted from the navigation button) cached 5 min and returns a HomeResponse of sections via HomeResponseParser.","Tapping a mood/genre tile from Moods & Genres","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/ViewModels/MoodCategoryViewModel.swift","P2","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Reuses the generic home-section parsing/rendering path."
"API-25","API client, caching, error handling, retry, key resolution","Account list and account-switch session reset","As a user with brand accounts, I want to list and switch accounts and have the app fully reset cached/session state so that I never see stale or cross-account data after switching.","fetchAccountsList() POSTs account/accounts_list (no cache) and parses primary + brand accounts; AccountService.fetchAccounts restores a previously saved brand selection from UserDefaults (or the API-selected/first account), updates SongLikeStatusManager active account, and records lastError/errorSequence for toast display on failure. switchAccount updates local state, calls client.resetSessionStateForAccountSwitch() (clearing all continuation tokens: paginated, search, liked songs, playlist), repoints the like-status cache scope, persists the selection, and rolls back on failure. On currentAccount change MainWindow also calls APICache.invalidateAll() and URLCache.removeAllCachedResponses() and refreshes content + current-track metadata.","Account switcher menu","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/Auth/AccountService.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/MainWindow.swift","P0","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F020(medium): Switching sidebar tabs destroys each tab's NavigationStack, losing the user's drill-down position","medium","Fixed (merged)","Server-side identity switch is not implemented; switching is local state + onBehalfOfUser context + cache isolation. A UITest hook can force a mock switch failure."
